,zip code,city,State,cfa_stores_per_zip
0,01020,Chicopee,MA,2
1,01581,Westborough,MA,2
2,01606,Worcester,MA,2
3,01701,Framingham,MA,2
4,01752,Marlborough,MA,2
5,01803,Burlington,MA,2
6,01960,Peabody,MA,2
7,02026,Dedham,MA,2
8,02601,Hyannis,MA,2
9,02771,Seekonk,MA,2
10,02886,Warwick,RI,2
11,03060,Nashua,NH,2
12,03063,Nashua,NH,2
13,04401,Bangor,ME,2
14,06082,Enfield,CT,2
15,06110,Hartford,CT,2
16,06382,Uncasville,CT,2
17,06473,Haven,CT,2
18,06489,Southington,CT,2
19,06492,Wallingford,CT,2
20,06804,Brookfield,CT,2
21,06810,Danbury,CT,2
22,06854,Norwalk,CT,2
23,07083,Union,NJ,2
24,07095,Woodbridge,NJ,4
25,07310,City,NJ,2
26,07608,Teterboro,NJ,2
27,07631,Englewood,NJ,2
28,07652,Paramus,NJ,4
29,07724,Eatontown,NJ,2
30,07728,Freehold,NJ,2
31,07731,Howell,NJ,2
32,07832,Columbia,NJ,2
33,08002,Hill,NJ,4
34,08012,Turnersville,NJ,2
35,08016,Burlington,NJ,2
36,08043,Voorhees,NJ,4
37,08053,Marlton,NJ,2
38,08054,Laurel,NJ,4
39,08075,Delran,NJ,2
40,08080,Sewell,NJ,2
41,08081,Sicklerville,NJ,2
42,08096,Deptford,NJ,4
43,08106,Audubon,NJ,2
44,08205,Galloway,NJ,2
45,08234,Township,NJ,2
46,08360,Vineland,NJ,2
47,08691,Hamilton,NJ,2
48,08723,Brick,NJ,2
49,08822,Flemington,NJ,2
50,08837,Edison,NJ,2
51,08865,Phillipsburg,NJ,2
52,10,Terminal,Core,2
53,10003,York,NY,2
54,10018,York,NY,2
55,10036,York,NY,2
56,11373,Elmhurst,NY,2
57,11725,Commack,NY,2
58,11735,Farmingdale,NY,2
59,11776,Stati,NY,2
60,11801,Hicksville,NY,2
61,15061,Monaca,PA,2
62,15090,Wexford,PA,2
63,15120,Homestead,PA,2
64,15146,Monroeville,PA,2
65,15205,Pittsburgh,PA,4
66,15213,Pittsburgh,PA,2
67,15231,Pittsburgh,PA,2
68,15236,Hills,PA,2
69,15237,Pittsburgh,PA,4
70,15241,Pittsburgh,PA,2
71,15282,Pittsburgh,PA,2
72,15301,Washington,PA,2
73,15419,California,PA,2
74,15601,Greensburg,PA,6
75,15701,Indiana,PA,2
76,16066,Township,PA,2
77,16509,Erie,PA,2
78,16601,Altoona,PA,2
79,16802,Park,PA,2
80,16803,College,PA,2
81,17013,Carlisle,PA,2
82,17033,Hershey,PA,2
83,17050,Mechanicsburg,PA,2
84,17111,Harrisburg,PA,2
85,17201,Chambersburg,PA,2
86,17331,Hanover,PA,2
87,17361,Shrewsbury,PA,2
88,17402,York,PA,2
89,17404,York,PA,2
90,17601,Lancaster,PA,2
91,17602,Lancaster,PA,2
92,17745,Haven,PA,2
93,17815,Bloomsburg,PA,2
94,18045,Easton,PA,2
95,18052,Whitehall,PA,4
96,18106,Allentown,PA,2
97,18510,Scranton,PA,2
98,18612,Dallas,PA,2
99,18701,Barre,PA,2
100,18936,Montgomeryville,PA,2
101,18940,Newtown,PA,2
102,18951,Quakertown,PA,2
103,18974,Warminster,PA,2
104,18976,Warrington,PA,2
105,19020,Bensalem,PA,2
106,19033,Folsom,PA,2
107,19047,Langhorne,PA,2
108,19053,Trevose,PA,2
109,19063,Media,PA,2
110,19064,Springfield,PA,2
111,19090,Grove,PA,2
112,19103,Philadelphia,PA,2
113,19104,Philadelphia,PA,2
114,19114,Philadelphia,PA,2
115,19122,Philadelphia,PA,2
116,19124,Philadelphia,PA,2
117,19137,Philadelphia,PA,2
118,19148,Philadelphia,PA,2
119,19150,Philadelphia,PA,2
120,19153,Philadelphia,PA,2
121,19335,Downingtown,PA,2
122,19341,Exton,PA,4
123,19342,Mills,PA,2
124,19383,Chester,PA,2
125,19401,Norriton,PA,2
126,19403,Norristown,PA,2
127,19406,Prussia,PA,4
128,19446,Lansdale,PA,2
129,19454,Wales,PA,2
130,19462,Meeting,PA,2
131,19464,Pottstown,PA,2
132,19468,Royersford,PA,2
133,19530,Kutztown,PA,2
134,19606,Reading,PA,2
135,19610,Reading,PA,2
136,19610,Wyomissing,PA,2
137,19701,Bear,DE,2
138,19702,Newark,DE,2
139,19709,Middletown,DE,2
140,19713,Newark,DE,4
141,19803,Wilmington,DE,2
142,19901,Dover,DE,4
143,19934,Camden,DE,2
144,19963,Milford,DE,2
145,19971,Beach,DE,2
146,20001,Washington,DC,4
147,20002,Washington,DC,6
148,20007,Washington,DC,2
149,20010,Washington,DC,2
150,20016,Washington,DC,2
151,20052,Washington,DC,2
152,20064,Washington,DC,2
153,20109,Manassas,VA,4
154,20110,Manassas,VA,2
155,20132,Purcellville,VA,2
156,20147,Ashburn,VA,2
157,20151,Chantilly,VA,6
158,20152,Chantilly,VA,2
159,20155,Gainesville,VA,2
160,20164,Sterling,VA,2
161,20166,Dulles,VA,2
162,20166,Sterling,VA,4
163,20169,Haymarket,VA,2
164,20176,Leesburg,VA,2
165,20186,Warrenton,VA,2
166,20190,Reston,VA,2
167,20603,Waldorf,MD,4
168,20613,Brandywine,MD,2
169,20619,California,MD,2
170,20646,Plata,MD,2
171,20707,Laurel,MD,2
172,20715,Bowie,MD,2
173,20716,Bowie,MD,2
174,20720,Bowie,MD,2
175,20723,Laurel,MD,2
176,20724,Laurel,MD,2
177,20742,Park,MD,2
178,20743,Heights,MD,2
179,20747,Heights,MD,2
180,20774,Largo,MD,2
181,20817,Bethesda,MD,2
182,20832,Olney,MD,2
183,20852,Rockville,MD,2
184,20874,Germantown,MD,2
185,20878,Gaithersburg,MD,2
186,20904,Spring,MD,2
187,20910,Spring,MD,2
188,21001,Aberdeen,MD,2
189,21009,Abingdon,MD,2
190,21030,Cockeysville,MD,2
191,21030,Valley,MD,2
192,21037,Edgewater,MD,2
193,21044,Columbia,MD,2
194,21045,Columbia,MD,4
195,21050,Hill,MD,2
196,21054,Gambrills,MD,4
197,21061,Burnie,MD,4
198,21076,Hanover,MD,2
199,21090,Heights,MD,2
200,21117,Mills,MD,4
201,21122,Pasadena,MD,2
202,21136,Reisterstown,MD,2
203,21144,Severn,MD,2
204,21146,Park,MD,2
205,21157,Westminster,MD,4
206,21202,Baltimore,MD,2
207,21204,Towson,MD,2
208,21220,River,MD,2
209,21224,Baltimore,MD,4
210,21227,Baltimore,MD,2
211,21228,Catonsville,MD,2
212,21229,Baltimore,MD,2
213,21234,Parkville,MD,2
214,21236,Baltimore,MD,6
215,21240,Baltimore,MD,4
216,21250,Baltimore,MD,2
217,21251,Baltimore,MD,2
218,21252,Towson,MD,2
219,21401,Annapolis,MD,4
220,21502,Cumberland,MD,4
221,21532,Frostburg,MD,2
222,21601,Easton,MD,2
223,21619,Chester,MD,2
224,21701,Frederick,MD,2
225,21704,Frederick,MD,2
226,21740,Hagerstown,MD,2
227,21784,Eldersburg,MD,2
228,21801,Salisbury,MD,6
229,21842,City,MD,2
230,21853,Anne,MD,2
231,21921,Elkton,MD,2
232,22015,Burke,VA,2
233,22025,Dumfries,VA,2
234,22030,Fairfax,VA,2
235,22031,Fairfax,VA,2
236,22033,Fairfax,VA,4
237,22044,Church,VA,2
238,22150,Springfield,VA,2
239,22182,Vienna,VA,2
240,22192,Woodbridge,VA,4
241,22202,Arlington,VA,2
242,22401,Fredericksburg,VA,2
243,22406,Fredericksburg,VA,2
244,22407,Fredericksburg,VA,6
245,22556,Stafford,VA,2
246,22601,Winchester,VA,6
247,22603,Winchester,VA,2
248,22701,Culpeper,VA,2
249,22801,Harrisonburg,VA,2
250,22807,Harrisonburg,VA,2
251,22901,Charlottesville,VA,4
252,22904,Charlottesville,VA,2
253,22911,Charlottesville,VA,2
254,22980,Waynesboro,VA,2
255,23005,Ashland,VA,2
256,23047,Doswell,VA,2
257,23059,Allen,VA,2
258,23061,Gloucester,VA,2
259,23111,Mechanicsville,VA,2
260,23112,Midlothian,VA,2
261,23113,Midlothian,VA,2
262,23188,Williamsburg,VA,4
263,23225,Richmond,VA,2
264,23229,Richmond,VA,4
265,23230,Richmond,VA,4
266,23231,Richmond,VA,2
267,23233,Richmond,VA,4
268,23235,Chesterfield,VA,4
269,23284,Richmond,VA,2
270,23294,Richmond,VA,2
271,23298,Richmond,VA,2
272,23320,Chesapeake,VA,4
273,23321,Chesapeake,VA,4
274,23322,Chesapeake,VA,4
275,23434,Suffolk,VA,2
276,23435,Suffolk,VA,2
277,23451,Beach,VA,2
278,23452,Beach,VA,4
279,23454,Beach,VA,2
280,23455,Beach,VA,2
281,23456,Beach,VA,2
282,23462,Beach,VA,4
283,23464,Beach,VA,2
284,23502,Norfolk,VA,2
285,23504,Norfolk,VA,2
286,23510,Norfolk,VA,2
287,23529,Norfolk,VA,2
288,23602,News,VA,4
289,23606,News,VA,4
290,23666,Hampton,VA,4
291,23668,Hampton,VA,2
292,23693,Yorktown,VA,2
293,23707,Portsmouth,VA,2
294,23803,Petersburg,VA,2
295,23831,Chester,VA,2
296,23832,Chesterfield,VA,2
297,23834,Heights,VA,4
298,23901,Farmville,VA,2
299,24012,Roanoke,VA,6
300,24014,Roanoke,VA,2
301,24061,Blacksburg,VA,2
302,24073,Christiansburg,VA,2
303,24112,Martinsville,VA,2
304,24142,Radford,VA,2
305,24153,Salem,VA,2
306,24202,Bristol,VA,2
307,24293,Wise,VA,2
308,24502,Lynchburg,VA,8
309,24540,Danville,VA,2
310,24541,Danville,VA,2
311,24701,Bluefield,WV,2
312,24740,Princeton,WV,2
313,25309,Charleston,WV,2
314,25389,Charleston,WV,2
315,25401,Martinsburg,WV,2
316,25438,Ranson,WV,2
317,25504,Barboursville,WV,4
318,25755,Huntington,WV,2
319,25801,Beckley,WV,2
320,25880,Hope,WV,2
321,26105,Vienna,WV,4
322,26301,Clarksburg,WV,2
323,26330,Bridgeport,WV,2
324,26501,Morgantown,WV,2
325,26505,Morgantown,WV,2
326,26506,Morgantown,WV,2
327,27012,Clemmons,NC,2
328,27030,Airy,NC,2
329,27103,Salem,NC,6
