,zipcode,city,states,revenue_per_zipcode,national_num_esta
0,1001,AGAWAM,MA,16245,610
1,1002,AMHERST,MA,25043,1155
2,1004,AMHERST,MA,1200,30
3,1005,BARRE,MA,8252,145
4,1007,BELCHERTOWN,MA,9917,230
5,1008,BLANDFORD,MA,6406,70
6,1009,BONDSVILLE,MA,670,15
7,1010,BRIMFIELD,MA,7540,85
8,1013,CHICOPEE,MA,18272,590
9,1020,CHICOPEE,MA,18491,1090
10,1026,CUMMINGTON,MA,8991,20
11,1027,EASTHAMPTON,MA,11564,565
12,1028,EAST LONGMEADOW,MA,14904,520
13,1029,EAST OTIS,MA,6292,40
14,1030,FEEDING HILLS,MA,10949,215
15,1031,GILBERTVILLE,MA,2048,60
16,1032,GOSHEN,MA,1267,30
17,1033,GRANBY,MA,13358,150
18,1034,GRANVILLE,MA,10660,45
19,1035,HADLEY,MA,9871,600
20,1036,HAMPDEN,MA,8507,130
21,1038,HATFIELD,MA,10569,80
22,1039,HAYDENVILLE,MA,10319,60
23,1040,HOLYOKE,MA,18239,1305
24,1041,HOLYOKE,MA,675,15
25,1050,HUNTINGTON,MA,1828,45
26,1053,LEEDS,MA,630,15
27,1056,LUDLOW,MA,12709,550
28,1057,MONSON,MA,12642,150
29,1060,NORTHAMPTON,MA,13104,1290
30,1062,FLORENCE,MA,9192,230
31,1066,NORTH HATFIELD,MA,630,15
32,1068,OAKHAM,MA,6284,40
33,1069,PALMER,MA,13358,360
34,1070,PLAINFIELD,MA,5623,25
35,1071,RUSSELL,MA,670,15
36,1072,SHUTESBURY,MA,640,15
37,1073,SOUTHAMPTON,MA,10956,125
38,1074,SOUTH BARRE,MA,640,30
39,1075,SOUTH HADLEY,MA,11451,465
40,1077,SOUTHWICK,MA,18384,375
41,1079,THORNDIKE,MA,630,15
42,1080,THREE RIVERS,MA,1295,30
43,1081,WALES,MA,5634,25
44,1082,WARE,MA,9585,245
45,1083,WARREN,MA,756,30
46,1084,WEST CHESTERFIELD,MA,670,15
47,1085,WESTFIELD,MA,15618,1125
48,1086,WESTFIELD,MA,675,15
49,1088,WEST HATFIELD,MA,670,15
50,1089,WEST SPRINGFIELD,MA,21929,1505
51,1092,WEST WARREN,MA,5746,40
52,1093,WHATELY,MA,1330,30
53,1095,WILBRAHAM,MA,9364,275
54,1096,WILLIAMSBURG,MA,7575,70
55,1098,WORTHINGTON,MA,1255,30
56,1101,SPRINGFIELD,MA,6205,40
57,1102,SPRINGFIELD,MA,1690,45
58,1103,SPRINGFIELD,MA,15736,595
59,1104,SPRINGFIELD,MA,11964,520
60,1105,SPRINGFIELD,MA,9973,305
61,1106,LONGMEADOW,MA,10572,260
62,1107,SPRINGFIELD,MA,8227,130
63,1108,SPRINGFIELD,MA,11272,415
64,1109,SPRINGFIELD,MA,12116,515
65,1111,SPRINGFIELD,MA,675,15
66,1115,SPRINGFIELD,MA,1989,60
67,1118,SPRINGFIELD,MA,3357,180
68,1119,SPRINGFIELD,MA,5562,390
69,1128,SPRINGFIELD,MA,7585,140
70,1129,SPRINGFIELD,MA,9128,315
71,1144,SPRINGFIELD,MA,675,15
72,1151,INDIAN ORCHARD,MA,8972,150
73,1201,PITTSFIELD,MA,25368,1985
74,1202,PITTSFIELD,MA,630,15
75,1220,ADAMS,MA,9949,310
76,1223,BECKET,MA,18051,125
77,1225,CHESHIRE,MA,7074,70
78,1226,DALTON,MA,3240,195
79,1230,GREAT BARRINGTON,MA,13372,780
80,1235,HINSDALE,MA,10866,80
81,1236,HOUSATONIC,MA,1913,45
82,1237,LANESBORO,MA,16631,330
83,1238,LEE,MA,21679,770
84,1240,LENOX,MA,25651,750
85,1245,MONTEREY,MA,9664,35
86,1247,NORTH ADAMS,MA,20196,615
87,1252,NORTH EGREMONT,MA,4995,10
88,1253,OTIS,MA,6695,85
89,1254,RICHMOND,MA,670,15
90,1255,SANDISFIELD,MA,5620,45
91,1257,SHEFFIELD,MA,12099,125
92,1258,SOUTH EGREMONT,MA,2879,75
93,1260,SOUTH LEE,MA,1296,45
94,1262,STOCKBRIDGE,MA,9079,135
95,1266,WEST STOCKBRIDGE,MA,8408,105
96,1267,WILLIAMSTOWN,MA,17156,605
97,1301,GREENFIELD,MA,11219,725
98,1302,GREENFIELD,MA,1258,30
99,1330,ASHFIELD,MA,1298,45
100,1331,ATHOL,MA,16321,275
101,1337,BERNARDSTON,MA,10943,80
102,1339,CHARLEMONT,MA,7489,85
103,1340,COLRAIN,MA,4995,10
104,1342,DEERFIELD,MA,640,15
105,1344,ERVING,MA,7124,50
106,1349,MILLERS FALLS,MA,5623,25
107,1350,MONROE BRIDGE,MA,630,15
108,1351,MONTAGUE,MA,1298,30
109,1354,GILL,MA,670,15
110,1360,NORTHFIELD,MA,1792,45
111,1364,ORANGE,MA,13760,150
112,1366,PETERSHAM,MA,6857,55
113,1367,ROWE,MA,675,15
114,1368,ROYALSTON,MA,640,15
115,1370,SHELBURNE FALLS,MA,18066,205
116,1373,SOUTH DEERFIELD,MA,10494,245
117,1375,SUNDERLAND,MA,7463,110
118,1376,TURNERS FALLS,MA,8033,120
119,1378,WARWICK,MA,4995,10
120,1420,FITCHBURG,MA,17622,1190
121,1430,ASHBURNHAM,MA,8454,115
122,1431,ASHBY,MA,1295,30
123,1432,AYER,MA,12520,325
124,1434,DEVENS,MA,7497,85
125,1436,BALDWINVILLE,MA,1383,60
126,1438,EAST TEMPLETON,MA,5621,25
127,1440,GARDNER,MA,15437,615
128,1441,WESTMINSTER,MA,670,15
129,1450,GROTON,MA,7477,175
130,1451,HARVARD,MA,2470,60
131,1452,HUBBARDSTON,MA,5994,40
132,1453,LEOMINSTER,MA,20721,1550
133,1460,LITTLETON,MA,12703,200
134,1462,LUNENBURG,MA,8783,250
135,1463,PEPPERELL,MA,9601,185
136,1464,SHIRLEY,MA,7076,115
137,1468,TEMPLETON,MA,5998,40
138,1469,TOWNSEND,MA,9598,205
139,1473,WESTMINSTER,MA,8726,175
140,1474,WEST TOWNSEND,MA,675,15
141,1475,WINCHENDON,MA,14096,300
142,1501,AUBURN,MA,16001,705
143,1503,BERLIN,MA,6291,55
144,1504,BLACKSTONE,MA,4027,195
145,1505,BOYLSTON,MA,2038,75
146,1506,BROOKFIELD,MA,1419,45
147,1507,CHARLTON,MA,8918,170
148,1508,CHARLTON CITY,MA,8076,140
149,1509,CHARLTON DEPOT,MA,670,15
150,1510,CLINTON,MA,15770,415
151,1515,EAST BROOKFIELD,MA,7483,130
152,1516,DOUGLAS,MA,7161,100
153,1518,FISKDALE,MA,10819,155
154,1519,GRAFTON,MA,10560,95
155,1520,HOLDEN,MA,12204,330
156,1521,HOLLAND,MA,1008,30
157,1522,JEFFERSON,MA,630,15
158,1523,LANCASTER,MA,9860,65
159,1524,LEICESTER,MA,7945,140
160,1525,LINWOOD,MA,1303,30
161,1526,MANCHAUG,MA,640,15
162,1527,MILLBURY,MA,13524,470
163,1529,MILLVILLE,MA,5578,25
164,1531,NEW BRAINTREE,MA,5624,25
165,1532,NORTHBOROUGH,MA,13106,535
166,1534,NORTHBRIDGE,MA,756,30
167,1535,NORTH BROOKFIELD,MA,6623,65
168,1536,NORTH GRAFTON,MA,9639,200
169,1537,NORTH OXFORD,MA,2369,60
170,1538,NORTH UXBRIDGE,MA,7408,80
171,1540,OXFORD,MA,9543,295
172,1541,PRINCETON,MA,6698,70
173,1542,ROCHDALE,MA,1338,45
174,1543,RUTLAND,MA,8216,145
175,1545,SHREWSBURY,MA,15623,920
176,1550,SOUTHBRIDGE,MA,14496,485
177,1560,SOUTH GRAFTON,MA,2291,60
178,1561,SOUTH LANCASTER,MA,630,15
179,1562,SPENCER,MA,11203,340
180,1564,STERLING,MA,13547,235
181,1566,STURBRIDGE,MA,14074,545
182,1568,UPTON,MA,8946,140
183,1569,UXBRIDGE,MA,13026,250
184,1570,WEBSTER,MA,14052,610
185,1571,DUDLEY,MA,9676,250
186,1580,WESTBOROUGH,MA,670,15
187,1581,WESTBOROUGH,MA,17927,1250
188,1583,WEST BOYLSTON,MA,13358,290
189,1585,WEST BROOKFIELD,MA,8610,140
190,1588,WHITINSVILLE,MA,9663,310
191,1590,SUTTON,MA,13641,165
192,1601,WORCESTER,MA,670,15
193,1602,WORCESTER,MA,11661,485
194,1603,WORCESTER,MA,13648,640
195,1604,WORCESTER,MA,21663,1480
196,1605,WORCESTER,MA,14601,765
197,1606,WORCESTER,MA,11057,465
198,1607,WORCESTER,MA,8096,190
199,1608,WORCESTER,MA,15078,600
200,1609,WORCESTER,MA,19718,895
201,1610,WORCESTER,MA,12005,675
202,1611,CHERRY VALLEY,MA,675,15
203,1612,PAXTON,MA,5661,25
204,1613,WORCESTER,MA,675,15
205,1614,WORCESTER,MA,4995,10
206,1615,WORCESTER,MA,630,30
207,1653,WORCESTER,MA,675,15
208,1655,WORCESTER,MA,1330,60
209,1701,FRAMINGHAM,MA,18260,1470
210,1702,FRAMINGHAM,MA,21414,805
211,1719,BOXBOROUGH,MA,7350,70
212,1720,ACTON,MA,14292,650
213,1721,ASHLAND,MA,12573,610
214,1730,BEDFORD,MA,15937,570
215,1731,HANSCOM AFB,MA,585,15
216,1740,BOLTON,MA,8728,115
217,1741,CARLISLE,MA,5800,40
218,1742,CONCORD,MA,15482,605
219,1746,HOLLISTON,MA,10600,210
220,1747,HOPEDALE,MA,7985,100
221,1748,HOPKINTON,MA,12370,300
222,1749,HUDSON,MA,17677,665
223,1752,MARLBOROUGH,MA,17985,1945
224,1754,MAYNARD,MA,10757,410
225,1756,MENDON,MA,10403,220
